Cote ,Titre ,Auteur,Lieu ,Edition ,Annee ,Nb pages,Matiere,Inventaire
"""297.126/10",تفسير روح البيان. المجلد الرابع,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,494,القرآن : توضيح البيان,4986
"""297.126/11",تفسير روح البيان. المجلد الخامس,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,531,القرآن : توضيح البيان,4987
"""297.126/12",تفسير روح البيان. المجلد السادس,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,499,القرآن : توضيح البيان,4988
"""297.126/13",تفسير روح البيان. المجلد السابع,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,500,القرآن : توضيح البيان,4989
"""297.126/14",تفسير روح البيان. المجلد الثامن,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,527,القرآن : توضيح البيان,4990
"""297.126/15",تفسير روح البيان. المجلد التاسع,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,544,القرآن : تفسير البيان,4991
"""297.126/16",تفسير روح البيان. المجلد العاشر,"البرسوي, إسماعيل حقي",بيروت,دار الفكر,,522,القرآن : توضيح البيان,4992
"""347.44/01",نظرية الإلتزام في القانون المغربي: مصادر الإلتزام: 1 - العقود,"البرعي, أحمد حسن",الدار البيضاء,دار الثقافة,1981.0,252,القانون المدني: العقود,8981
"""347.44/01 مكرر",نظرية الالتزام في القانون المغربي: مصادر الإلتزام. الجزء الأول : العقد,"البرعي, أحمد حسن",الدار البيضاء,دار الثقافة,1981.0,252,القانون المدني,11538
"""82-1/05",شرح ديوان المتنبي. الجزء الأول والثاني,"البرقوقي, عبد الرحمن",بيروت,دار الكتاب العربي,1980.0,372,ديوان شعري,7906
"""82-1/06",شرح ديوان المتنبي. الجزء الثالث والرابع,"البرقوقي, عبد الرحمن",بيروت,دار الكتاب اللبناني,1980.0,477,ديوان شعري,7907
"""347.7_64/05",مراحل الاشهار وآثاره في القانون التجاري المغربي,"البرقي, أحمد اليوسفي",البيضاء,دار الكتاب,1989.0,458,القانون التجاري,23411
"""328_64/01",دار توبقال للنشر,البرلمان والممارسة التشريعية في المغرب,البيضاء,,1985.0,226,البرلمان,20247
"""517/11",التحليل - 5 -,"البرني, محمد سعيدقابيل, محمد بشير",دمشق,جامعة دمشق مطبعة خالد بن الوليد,1993.0,288,التحليل,26459
"""964/230",تاريخ الأوبئة والمجاعات بالمغرب في القرنين الثامن عشر والتاسع عشر,البزاز محمد الأمين,الرباط,منشورات كلية الآداب والعلوم الانسانية.الرباط,1992.0,430,تاريخ المغرب,29189
"""964/239",المجلس الصحي الدولي في المغرب,البزاز محمد الامين,الرباط,منشورات كليةالآداب والعلوم الانسانية,2000.0,414,تاريخ المغرب,29184
"""624/03",تصميم وإنشاء المباني-2- : التصميم الإنشائي,"البزم, محمد",دمشق,مطبعة جامعة دمشق,1990.0,224,الهندسة المدنية,25916
"""72/05",تصميم وإنشاء المباني: التصميم المعماري,"البزم, محمد",دمشق,جامعة دمشق,1990.0,212,الهندسة المعمارية,25751
"""03/14",محيط المحيط: قاموس مطول للغة العربية,"البستاني, بطرس",بيروت,مكتبة لبنان,1977.0,994,المعجم اللغوي,10117
"""82_ب_1/01",الروائع : المهلهل منتخبات شعرية,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1975.0,52,سلسلة البستاني,20847
"""82_ب_1/02",الروائع : ابن بطوطة: الجزء الأول. تحفة النظار في غرائب الأمصار وعجائب الأصفار,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1974.0,40,سلسلة البستاني,20862
"""82_ب_1/03",الروائع : ابن بطوطة: الجزء الثاني تحفة النظار في غرائب الأمصار وعجائب الأصفار,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1980.0,61,سلسلة البستاني,20863
"""82_ب_1/04","الروائع : امرؤ القيس , منتخبات شعرية","البستاني, فؤاد أفرام",بيروت,دار المشرق,1980.0,60,سلسلة البستاني,20848
"""82_ب_1/05",الروائع : ابن عبد ربه. الجزء الأول العقد الفريد,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1973.0,50,سلسلة البستاني,20860
"""82_ب_1/06",الروائع : ابن عبد ربه. الجزء الثاني العقد الفريد,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1979.0,63,سلسلة البستاني,20861
"""82_ب_1/07","الروائع : أبو العتاهية, منتخبات شعرية","البستاني, فؤاد أفرام",بيروت,دار المشرق,1974.0,56,سلسلة البستاني,20864
"""82_ب_1/08","الروائع : أبو الطيب المتنبي, المدائح والأهاجي","البستاني, فؤاد أفرام",بيروت,دار المشرق,1979.0,60,سلسلة البستاني,20858
"""82_ب_1/09","الروائع : أبو الطيب المتنبي, المراثي والمفاخر والحكم","البستاني, فؤاد أفرام",بيروت,دار المشرق,1980.0,59,سلسلة البستاني,20859
"""82_ب_1/10","الروائع : ابن خلدون مقدمة المقدمة, دراسة ومنتخبات","البستاني, فؤاد أفرام",بيروت,دار المشرق,1977.0,36,سلسلة البستاني,20856
"""82_ب_1/11",الروائع : ابن خلدون العمران البشري على الجملة,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1977.0,40,سلسلة البستاني,20857
"""82_ب_1/12",الروائع: أبو فراس الحمداني: منتخبات شعرية,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1974.0,59,سلسلة البستاني,20852
"""82_ب_1/13",الروائع : الجاحظ كتاب الحيوان. 1- المقدمة,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1979.0,71,سلسلة البستاني,20853
"""82_ب_1/14",الروائع : الجاحظ كتاب الحيوان 2- الحيات,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1980.0,49,سلسلة البستاني,20854
"""82_ب_1/15",الروائع : الجاحظ كتاب الحيوان. 3- الذرة والنملة,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1979.0,199,سلسلة البستاني,20855
"""82_ب_1/16",الروائع : الشيخ ناصيف اليازجي منتخبات شعرية,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1986.0,63,سلسلة البستاني,20851
"""82_ب_1/17","الروائع : المعلم بطرس البستاني خطابان: تعليم النساء, أدب العرب","البستاني, فؤاد أفرام",بيروت,دار المشرق,1975.0,40,سلسلة البستاني,20850
"""82_ب_1/18",الروائع : ولي الدين يكن فصول منتخبة,"البستاني, فؤاد أفرام",بيروت,دار المشرق,1986.0,41,سلسلة البستاني,20849
"""03/24",منجد الطلاب,"البستاني, فؤاد أفرم",بيروت,دار المشرق ش م م,1983.0,953,المعجم اللغوي,15819
"""82-1/108 ج1",ديوان المعلم نقولا الترك,"البستاني, فؤاد أفرم",بيروت,منشورات الجامعة اللبنانية,1970.0,210,ديوان شعري,21457
"""82-94/31",مذكرات رستم باز,"البستاني, فؤاد أفرم",بيروت,منشورات الجامعة اللبنانية,1968.0,148,السيرة,21419
"""82-1/108 ج2",ديوان المعلم نقولا الترك,"البستاني,فؤاد أفرم",بيروت,منشورات الجامعة اللبنانية,1970.0,279,ديوان شعري,21458
"""911.4/05",مظاهر التغايريةفي المناخ المغربي,البشلي علي,الرباط,منشورات كلية الآداب والعلوم الانسانية,1997.0,196,جغرافية المناخ,29113
"""35.08/20",رجل السلطة,"البصري, ادريس",الرباط,المطبعة الملكية,1976.0,172,القانون الإداري,1062
"""82-84/04 ج3 مكرر",المجموعة الشعرية الكاملة,"البصير, محمد مهدي",بغداد,وزارة الإعلام,1977.0,249,ديوان شعري,14498
"""342.3/01",التيارات السياسية المعاصرة 1815 - 1960,"البطريق, عبد الحميد",بيروت,دار النهضة العربية,1974.0,478,تاريخ العالم,9137
